Empresa ,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,Linkedin,Uniue Segmento,Contagem de Segmento,Top Segmento,,,,,,,,,,job_industry_collection,job_functions_collection
Dexco,DEXCO S.A,97.837.181/0001-47,"3,370,188,626.80",Acima de 1 bilhão,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada","5,491.00",5001-10000,"São Paulo, SP",https://www.linkedin.com/jobs/view/t%25C3%25A9cnico-de-desenvolvimento-de-produto-at-dexco-4206132934,"Portais, provedores de conteúdo e outros serviços de informação na internet",8,********,173,,,,,,,,,[{'job_industry_list': {'industry': 'Construction'}}],['Management and Manufacturing']
Resolv,RESOLV PRESTADORA LTDA.,01.198.721/0001-10,"2,004,000.00",1 – 10 milhões,Limpeza em prédios e em domicílios,"2,867.00",1001-5000,"Ribeirão Preto, São Paulo",https://www.linkedin.com/jobs/view/coordenador-de-r-s-at-resolv-4057265121,Treinamento em desenvolvimento profissional e gerencial,4,"Portais, provedores de conteúdo e outros serviços de informação na internet",8,,,,,,,,,[{'job_industry_list': {'industry': 'Outsourcing and Offshoring Consulting'}}],['Other']
Vtrina,VTRINA SERVICOS DIGITAIS LTDA,16.517.057/0001-00,"3,000.00",Até 100 mil,"Portais, provedores de conteúdo e outros serviços de informação na internet",18.00,11–50,"Curitiba, Paraná",https://www.linkedin.com/jobs/view/analista-de-marketing-e-vendas-j%25C3%25BAnior-inbound-outbound-e-parcerias-at-vtrina-4206112299,"Bancos múltiplos, com carteira comercial",2,Holdings de instituições não-financeiras,8,,,,,,,,,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Marketing']
Grupo Vilarouca,VILAROUCA PARTICIPACOES LTDA,27.395.816/0001-18,"2,256,375.00",1 – 10 milhões,Holdings de instituições não-financeiras,106.00,51–200,"Em mais de 80 municípios dos estados do CE, RN, MA, PI e BA., CE",https://www.linkedin.com/jobs/view/multiplicador-a-de-treinamentos-o-botic%25C3%25A1rio-catol%25C3%25A9-do-rocha-pb-at-grupo-vilarouca-4206112079,Gestão de ativos intangíveis não-financeiros,2,Serviços combinados de escritório e apoio administrativo,6,,,,,,,,,[{'job_industry_list': {'industry': 'Retail'}}],['Training']
Lafaete Locação,UNIAO COMERCIAL BARAO S/A LOCACAO E EMPREENDIMENTOS,24.013.278/0006-76,0.00,Até 100 mil,Serviços combinados de escritório e apoio administrativo,506.00,501–1000,"Belo Horizonte, Minas Gerais",https://www.linkedin.com/jobs/view/auxiliar-administrativo-pcd-at-lafaete-loca%25C3%25A7%25C3%25A3o-4074140488,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",4,Desenvolvimento e licenciamento de programas de computador customizáveis,5,,,,,,,,,[{'job_industry_list': {'industry': 'Construction'}}],['Administrative']
NeuroSaber,INSTITUTO NEUROSABER DE ENSINO LTDA,21.922.412/0001-59,"1,110,000.00",1 – 10 milhões,,56.00,51–200,"Londrina, Paraná",https://www.linkedin.com/jobs/view/assistente-de-recursos-humanos-generalista-at-neurosaber-4206108773,Desenvolvimento e licenciamento de programas de computador customizáveis,5,Desenvolvimento e licenciamento de programas de computador não-customizáveis,5,,,,,,,,,[{'job_industry_list': {'industry': 'E-learning'}}],['Human Resources']
Prosegur,PROSEGUR BRASIL S/A TRANSPORTADORA DE VALORES E SEGURANCA,17.428.731/0001-35,"1,156,865,196.00",Acima de 1 bilhão,Atividades de transporte de valores,"59,634.00",+10000,"Madrid, Madrid",https://www.linkedin.com/jobs/view/vigilante-patrimonial-intermitente-santa-maria-das-barreiras-pa-at-prosegur-4056213955,Seleção e agenciamento de mão-de-obra,2,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",5,,,,,,,,,[{'job_industry_list': {'industry': 'Security and Investigations'}}],"['Other, Information Technology, and Management']"
Schindler Group,ELEVADORES ATLAS SCHINDLER LTDA.,00.028.986/0001-08,"70,478,642.00",10 – 100 milhões,"Instalação, manutenção e reparação de elevadores, escadas e esteiras rolantes","32,163.00",+10000,Ebikon,https://www.linkedin.com/jobs/view/banco-de-talentos-pessoas-50%252B-vagas-afirmativas-at-schindler-group-4069765250,Holdings de instituições não-financeiras,8,Treinamento em desenvolvimento profissional e gerencial,4,,,,,,,,,[{'job_industry_list': {'industry': 'Industrial Machinery Manufacturing'}}],['Human Resources']
IPM Sistemas,IPM SISTEMAS LTDA,01.258.027/0001-41,"1,000,000.00",100 mil – 1 milhão,"Portais, provedores de conteúdo e outros serviços de informação na internet",671.00,501–1000,"Florianópolis, SC",https://www.linkedin.com/jobs/view/executivo-a-de-vendas-mg-zona-da-mata-at-ipm-sistemas-4063232250,Atividades de apoio à gestão de saúde,2,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",4,,,,,,,,,[{'job_industry_list': {'industry': 'Retail'}}],['Sales and Business Development']
Gescon Treinamentos,GESCON TECNOLOGIA E TREINAMENTO EMPRESARIAL LTDA,20.854.792/0001-79,"20,000.00",Até 100 mil,Treinamento em desenvolvimento profissional e gerencial,15.00,11–50,"São Paulo, SP",https://www.linkedin.com/jobs/view/consultora-de-recursos-humanos-at-gescon-treinamentos-4074623812,Atividades de profissionais da área de saúde não especificadas anteriormente,1,Comércio varejista de artigos do vestuário e acessórios,4,,,,,,,,,[{'job_industry_list': {'industry': 'Professional Training and Coaching'}}],['Human Resources']
C6 Bank,BANCO C6 S.A.,31.872.495/0001-72,"6,959,769,334.00",Acima de 1 bilhão,"Bancos múltiplos, com carteira comercial","4,291.00",1001-5000,"São Paulo, São Paulo",https://www.linkedin.com/jobs/view/gerente-de-relacionamento-c6-empresas-belo-horizonte-mg-at-c6-bank-4067452882,Comércio atacadista de suprimentos para informática,1,Atividades de contabilidade,4,,,,,,,,,[{'job_industry_list': {'industry': 'Banking'}}],['Sales and Business Development']
