Empresa,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,job_industry_collection,job_functions_collection,Linkedin,Unique Segmento,Contagem de Segmento,Top Segmentos,
Lojas Torra,MAGAZINE TORRA TORRA LTDA,22.685.030/0001-11,"658,770,000.00",100 milhões – 1 bilhão,"Lojas de departamentos ou magazines, exceto lojas francas","5,724.00",5001-10000,Brazil,[{'job_industry_list': {'industry': 'Retail'}}],['Other'],https://www.linkedin.com/company/lojastorra,"Lojas de departamentos ou magazines, exceto lojas francas",1,********,211
Exati,EXATI TECNOLOGIA E DESENVOLVIMENTO DE SISTEMAS LTDA,18.434.112/0001-16,"1,000,000.00",100 mil – 1 milhão,Desenvolvimento e licenciamento de programas de computador customizáveis,171.00,51–200,Brazil,[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Education and Training'],https://www.linkedin.com/company/exati-tecnologia,Desenvolvimento e licenciamento de programas de computador customizáveis,13,Desenvolvimento e licenciamento de programas de computador não-customizáveis,14
Akross,AKROSS PLATAFORMAS TECNOLOGICAS E SERVICOS LTDA.,32.275.954/0001-01,"500,000.00",100 mil – 1 milhão,Desenvolvimento de programas de computador sob encomenda,149.00,51–200,"Rio de Janeiro, Rio de Janeiro, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],https://www.linkedin.com/company/akross,Desenvolvimento de programas de computador sob encomenda,13,Desenvolvimento e licenciamento de programas de computador customizáveis,13
Passarelli,PASSARELLI ENGENHARIA E CONSTRUCAO LTDA.,60.625.829/0001-01,"58,378,065.50",10 – 100 milhões,Outras obras de engenharia civil não especificadas anteriormente,"1,188.00",1001-5000,"Campinas, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Construction'}}],['Other'],https://www.linkedin.com/company/passarelliec,Outras obras de engenharia civil não especificadas anteriormente,1,Desenvolvimento de programas de computador sob encomenda,13
BeFly,BEFLY TRAVEL PARTICIPACOES S/A,00.168.403/0001-44,"658,905,262.00",100 milhões – 1 bilhão,Holdings de instituições não-financeiras,"2,498.00",1001-5000,Brazil,[{'job_industry_list': {'industry': 'Travel Arrangements'}}],['Other'],https://www.linkedin.com/company/beflyoficial,Holdings de instituições não-financeiras,7,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",10
Sallve,SALLVE COMERCIO DE COSMETICOS LTDA.,32.124.385/0001-95,"133,613,112.00",100 milhões – 1 bilhão,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",211.00,201–500,"São Paulo, São Paulo, Brazil",[{'job_industry_list': {'industry': 'Personal Care Product Manufacturing'}}],"['Marketing, Public Relations, and Writing/Editing']",https://www.linkedin.com/company/sallve,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",2,Agências de viagens,8
LeCupon,LECUPON S.A.,26.989.697/0001-69,"510,000.00",100 mil – 1 milhão,Desenvolvimento e licenciamento de programas de computador não-customizáveis,82.00,51–200,"Belo Horizonte, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Project Management and Information Technology'],https://www.linkedin.com/company/alloyalfidelidade,Desenvolvimento e licenciamento de programas de computador não-customizáveis,14,Consultoria em tecnologia da informação,8
ESSS,ENGINEERING SIMULATION AND SCIENTIFIC SOFTWARE LTDA,00.796.437/0001-83,"734,520.00",100 mil – 1 milhão,Serviços de engenharia,387.00,201–500,"Florianópolis, Santa Catarina, Brazil",[{'job_industry_list': {'industry': 'Software Development'}}],['Education and Training'],https://www.linkedin.com/company/esss,Serviços de engenharia,4,Holdings de instituições não-financeiras,7
Bernhoeft,GRT AUDITORIA DE TERCEIROS LTDA,26.852.688/0002-02,"4,300,000.00",1 – 10 milhões,Atividades de consultoria e auditoria contábil e tributária,833.00,501–1000,"Recife, Pernambuco, Brazil",[{'job_industry_list': {'industry': 'Accounting'}}],['Other'],https://www.linkedin.com/company/bernhoeft-contadores,Atividades de consultoria e auditoria contábil e tributária,1,Treinamento em desenvolvimento profissional e gerencial,7
Vetta,VETTA TECNOLOGIA S.A.,19.478.102/0001-45,"7,029,104.67",1 – 10 milhões,Desenvolvimento de programas de computador sob encomenda,317.00,201–500,"Belo Horizonte, Minas Gerais, Brazil",[{'job_industry_list': {'industry': 'IT Services and IT Consulting'}}],['Other'],https://www.linkedin.com/company/vettadigital,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",2,Atividades de contabilidade,6
