Empresa ,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,job_industry_collection,job_functions_collection,Unique Segmento,Contagem de Segmento,Top Segmentos,
Crawford Brasil,Crawford Brasil Reguladora de Sinistros Ltda,43.193.531/0001-50,"65,042,617.00",10 – 100 milhões,Peritos e avaliadores de seguros,~170,100–199,"São Paulo, SP",,,Serviços financeiros,1,Holdings de instituições não-financeiras,15
AFPESP,Associação dos Funcionários Públicos do Estado de São Paulo,62.149.000/0001‑05,,Até 100 mil,Associação pública,240.000 associados,n/d,"São Paulo, SP",,,Setor público,1,Desenvolvimento de programas de computador sob encomenda,14
VESTE,Veste S.A. Estilo,49.669.856/0001-43,"934,807,151.80",100 milhões – 1 bilhão,Comércio varejista de vestuário,~4.000,1.000–9.999,Nacional (180 lojas),,,Varejo,1,Consultoria em tecnologia da informação,11
Socicam,Socicam Infraestrutura e Participações Ltda,43.217.280/0001‑05,"15,000,000.00",10 – 100 milhões,Terminais rodoviários e ferroviários,~5.000,1.000–9.999,Brasil e Chile,,,Infraestrutura,1,Desenvolvimento e licenciamento de programas de computador não-customizáveis,11
Volkswagen Caminhões e Ônibus,Volkswagen Caminhões e Ônibus Comércio e Serviços Ltda,06.020.318/0001‑10,"2,626,625,288.00",Acima de 1 bilhão,Comércio de veículos pesados,~3.250,1.000–9.999,"Limeira, SP (nacional/regional)",,,Indústria automotiva,1,Desenvolvimento e licenciamento de programas de computador customizáveis,10
Coop,Coop – Cooperativa de Consumo,57.508.426/0001‑78,,Até 100 mil,Comércio varejista cooperativo,~5.000,1.000–9.999,"Santo André, SP (regional)",,,Varejo,1,********,10
CATHO,Catho Online LTDA,03.753.088/0001-00,"711,372.00",100 mil – 1 milhão,Tecnologia / Portais de emprego,~80 usuários (freq.),< 100,"Barueri, SP",,,Tecnologia,1,Serviços combinados de escritório e apoio administrativo,6
Unimed Seguros,Seguros Unimed S/A,04.487.255/0001‑81,"750,000,003.00",100 milhões – 1 bilhão,Seguros / Saúde,~448 usuários frequent.,100–999,"São Paulo, SP (19 escritórios)",,,Saúde,1,"Suporte técnico, manutenção e outros serviços em tecnologia da informação",6
Dexco,DEXCO S.A,97.837.181/0001-47,"3,370,188,626.80",Acima de 1 bilhão,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",5464,5001-10000,"São Paulo, SP",[{'job_industry_list': {'industry': 'Construction'}}],['Management and Manufacturing'],"Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada",1,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",6
Solutta Consultoria,SOLUTTA SERVICOS ADMINISTRATIVOS LTDA,05.759.157/0001-19,"2,500,000.00",1 – 10 milhões,Serviços combinados de escritório e apoio administrativo,317,201–500,"São Paulo, São Paulo",[{'job_industry_list': {'industry': 'Accounting'}}],['Administrative'],Serviços combinados de escritório e apoio administrativo,6,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",5
Bunge,BUNGE ALIMENTOS S/A,84.046.101/0001-93,"3,089,948,049.43",Acima de 1 bilhão,"Fabricação de óleos vegetais em bruto, exceto óleo de milho",21618,+10000,"Chesterfield, Missouri",[{'job_industry_list': {'industry': 'Food and Beverage Manufacturing'}}],['Management and Manufacturing'],"Fabricação de óleos vegetais em bruto, exceto óleo de milho",1,"Portais, provedores de conteúdo e outros serviços de informação na internet",5
