Empresa,Razão Social,CNPJ,Capital Social,Intervalo de capital,Segmento,Funcionários,Intervalo de Funcionários,Localização,job_industry_collection,Linkedin,job_functions_collection,Unique Segmento,Contagem de Segmento,Top Segmentos,
Sicredi,CONFEDERACAO DAS COOPERATIVAS DO SICREDI - CONFEDERACAO SICREDI,03.795.072/0001-60,0.00,Até 100 mil,Serviços combinados de escritório e apoio administrativo,"19,636.00",+10000,"Porto Alegre, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Financial Services'}}],https://www.linkedin.com/company/sicredi,['Sales and Business Development'],Serviços combinados de escritório e apoio administrativo,5,********,254
3tentos,TRES TENTOS AGROINDUSTRIAL S/A,94.813.102/0001-70,"1,565,586,775.75",Acima de 1 bilhão,Comércio atacadista de cereais e leguminosas beneficiados,"1,334.00",1001-5000,"Santa Barbara do Sul, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Farming'}}],https://www.linkedin.com/company/3tentosagro,['Management and Manufacturing'],Comércio atacadista de cereais e leguminosas beneficiados,1,Desenvolvimento e licenciamento de programas de computador não-customizáveis,13
FIERGS,CONDOMINIO INSTITUCIONAL DO SISTEMA FIERGS,03.505.886/0001-13,0.00,Até 100 mil,Condomínios prediais,"1,064.00",1001-5000,"Porto Alegre, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Civic and Social Organizations'}}],https://www.linkedin.com/company/fiergs,['Management and Manufacturing'],Condomínios prediais,1,Holdings de instituições não-financeiras,13
Grupo Dass,DASS SUL CALCADOS E ARTIGOS ESPORTIVOS LTDA,81.786.121/0001-02,"143,000,000.00",100 milhões – 1 bilhão,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida","7,369.00",5001-10000,"Ivoti, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Sporting Goods Manufacturing'}}],https://www.linkedin.com/company/grupodass,['Administrative'],"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",2,Desenvolvimento e licenciamento de programas de computador customizáveis,13
IPM Sistemas,IPM SISTEMAS LTDA,01.258.027/0001-41,"1,000,000.00",100 mil – 1 milhão,"Portais, provedores de conteúdo e outros serviços de informação na internet",671.00,501–1000,"Florianópolis, SC",[{'job_industry_list': {'industry': 'Computer and Network Security'}}],https://www.linkedin.com/company/ipmsistemas,['Administrative'],"Portais, provedores de conteúdo e outros serviços de informação na internet",3,Treinamento em desenvolvimento profissional e gerencial,11
União Distribuidora de Bebidas Ltda,UNIAO DISTRIBUIDORA DE BEBIDAS LTDA,89.236.988/0001-04,"1,014,400.00",1 – 10 milhões,"Comércio atacadista de cerveja, chope e refrigerante",93.00,51–200,"Ijuí, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Retail'}}],https://www.linkedin.com/company/uniaobebidas,['Sales and Business Development'],"Comércio atacadista de cerveja, chope e refrigerante",2,Atividades de contabilidade,8
Mecasul Auto Mecânica S/A,MECASUL AUTO MECANICA SA,88.616.776/0001-81,"70,000,000.00",10 – 100 milhões,Comércio por atacado de caminhões novos e usados,223.00,201–500,"Caxias do Sul, Rio Grande do Sul",[{'job_industry_list': {'industry': 'Motor Vehicle Manufacturing'}}],https://www.linkedin.com/company/mecasul,['Administrative'],Comércio por atacado de caminhões novos e usados,1,Desenvolvimento de programas de computador sob encomenda,8
VML,VML BRASIL PROPAGANDA LTDA,58.456.336/0001-43,"71,095,822.00",10 – 100 milhões,Agências de publicidade,"33,305.00",+10000,"New York, New York",[{'job_industry_list': {'industry': 'Advertising Services'}}],https://www.linkedin.com/company/vml,['Information Technology'],Agências de publicidade,4,Seleção e agenciamento de mão-de-obra,7
Sesc Santa Catarina,SERVICO SOCIAL DO COMERCIO - SESC AR/SC,03.603.595/0001-68,0.00,Até 100 mil,Serviços de assistência social sem alojamento,876.00,501–1000,"Florianópolis, Santa Catarina",[{'job_industry_list': {'industry': 'Civic and Social Organizations'}}],https://www.linkedin.com/company/sesc-sc,"['Other, Information Technology, and Management']",Serviços de assistência social sem alojamento,3,Consultoria em tecnologia da informação,7
Gazin,GAZIN INDUSTRIA E COMERCIO DE MOVEIS E ELETRODOMESTICOS S.A,77.941.490/0001-55,"1,500,000,000.00",Acima de 1 bilhão,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,"4,149.00",1001-5000,"Douradina, Paraná",[{'job_industry_list': {'industry': 'Retail'}}],https://www.linkedin.com/company/gazin,"['Design, Art/Creative, and Information Technology']",Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,2,Serviços combinados de escritório e apoio administrativo,5
